bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01322361,000,1,000,대구국가산단 A7-1BL 중 주방가구 제작 및 설치,R26BK01322361000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030001,적격심사제,IN0000000001779,일성건설(주),,UN00000498941,문진영,2026-02-13 15:30:00,,ilsung-004,ilsung-004
R26BK01322382,000,1,000,대구연호 현장 내 고철 매각,R26BK01322382000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030027,최고가,IN0100000119624,금광기업(주),,UN00000213212,최영우,2026-02-12 17:00:00,,26-002,26-002
R26BK01322084,001,0,000,범천4구역 국ㆍ공유지 매수대행 용역업체 선정 공고,R26BK01322084001,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-01호,범천4구역주택재개발정비사업조합공고제2026-02-01호
R26BK01322291,000,0,000,범천4구역 보상액 산정 감정평가법인 선정 공고,R26BK01322291000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-02호,범천4구역주택재개발정비사업조합공고제2026-02-02호
R26BK01321933,001,0,000,26년 국내 전시 용역업체 선정의 건,R26BK01321933001,공400003,취소공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000086382,한국항공우주산업주식회사,,UN00000192397,김재호,2026-03-06 12:00:00,,K-260206-002,K-260206-002
R26BK01322140,000,1,000,더샵 송파루미스타 아파트 상가 일괄매각 2차 입찰공고,R26BK01322140000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030027,최고가,IN0100000100105,가락현대5차아파트소규모재건축정비사업조합,,UN00000434204,조병철,2026-02-23 17:00:00,,가락현대5차아파트조합공고제2026-02-01호,가락현대5차아파트조합공고제2026-02-01호
R26BK01321896,000,0,000,쉐라톤 제주 호텔 그랜드 오프닝 세리머니 운영 대행 용역 입찰,R26BK01321896000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000090627,더케이제주호텔(주),,UN00000258297,김창진,2026-03-10 15:00:00,,판촉마케팅팀-16,판촉마케팅팀-16
R26BK01321910,000,0,000,정릉스카이연립 소규모재건축정비사업 도시계획업체 선정 입찰공고,R26BK01321910000,공400001,등록공고,조070002,용역,입180001,직찰,계030002,지명경쟁,낙030001,적격심사제,IN0100000116657,정릉스카이연립 소규모재건축정비사업조합,,UN00000404106,이의랑,2026-02-13 15:00:00,,2026-4,2026-4
R26BK01321899,000,1,000,2026년 전국센터 일반촬영장치 입찰 공고,R26BK01321899000,공400001,등록공고,조070001,물품,입180001,직찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000083764,(재)한국의학연구소,,UN00000158694,김은정,2026-02-24 10:00:00,,구매입찰2026-0005,구매입찰2026-0005
R26BK01321694,000,0,000,"호동구역재개발사업 전기,소방설계업체 선정 입찰공고",R26BK01321694000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000129866,호동구역 재개발정비사업조합,,UN00000271912,이병오,2026-02-13 15:00:00,,2026-05,2026-05
R26BK01321674,000,0,000,호동구역재개발사업 토목분야업체 선정 입찰공고,R26BK01321674000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000129866,호동구역 재개발정비사업조합,,UN00000271912,이병오,2026-02-13 15:00:00,,2026-04,2026-04
R26BK01321649,000,0,000,호동구역재개발사업 친환경 및 재해영향평가업체 선정 입찰공고,R26BK01321649000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000129866,호동구역 재개발정비사업조합,,UN00000271912,이병오,2026-02-13 15:00:00,,2026-03,2026-03
R26BK01321605,000,0,000,"호동구역재개발사업 교통영향평가, 정비기반시설설계업체 선정 입찰공고",R26BK01321605000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000129866,호동구역 재개발정비사업조합,,UN00000271912,이병오,2026-02-13 15:00:00,,2026-02,2026-02
R26BK01321351,000,0,000,옥외 야외수영장 리모델링 방수공사업자 선정공고,R26BK01321351000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000115713,더블루테라,,UN00000407966,이혁,2026-02-20 19:00:00,,2026-01,2026-01
R26BK01321426,000,0,000,호동구역 경관심의업체 선정 입찰공고,R26BK01321426000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000129866,호동구역 재개발정비사업조합,,UN00000271912,이병오,2026-02-13 15:00:00,,2026-01,2026-01
R26BK01321578,000,1,000,"2026년 산은비즈「근무복시설, 미화, 경비, 콜센터」구매",R26BK01321578000,공400001,등록공고,조070001,물품,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000094691,산은비즈 주식회사,,CM032503G0001,조양호,2026-02-27 14:00:00,,산은비즈2026-008,산은비즈2026-008
R26BK01321500,000,0,000,크로바·목련아파트 재건축정비사업 PM 및 도시계획 컨소시엄 협력업체 선정 입찰 공고,R26BK01321500000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014163,크로바·목련 아파트 재건축추진준비위원회,,UN00000573979,최태석,2026-02-12 12:00:00,,2026-01,2026-01
R26BK01319937,000,0,000,도시계획 업체 선정 - 특별정비계획 변경,R26BK01319937000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014103,시범우성 재건축 추진준비위원회,,UN00000579460,신정완,2026-02-13 17:00:00,,분당THE시범주민대표단공고제2006-1호,분당THE시범주민대표단공고제2006-1호
R26BK01321444,000,0,000,유해위험기계기구 자율안전검사 용역업체 선정,R26BK01321444000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000086382,한국항공우주산업주식회사,,UN00000192397,김재호,2026-02-12 12:00:00,,K-260206-0001,K-260206-0001
R26BK01313455,001,1,000,"슬러지자원화 2,3단계시설 여과집진시설 필터백 구매‧교체",R26BK01313455001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000096513,그린에너지개발주식회사,,UN00000178872,이민우,2026-02-10 11:00:00,,그린제2026-02호,그린제2026-02호
R26BK01321226,000,1,000,강동헤리티지자이 근린생활시설_지층 일괄매각_ 분양공고,R26BK01321226000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030027,최고가,IN0100000088658,길동신동아1차2차아파트주택재건축정비사업조합,,UN00000458657,김문정,2026-03-04 15:00:00,,길신제건축제2026-4,길신제건축제2026-4
R26BK01321182,000,1,000,강동헤리티지자이 근린생활시설_지상_ 분양공고,R26BK01321182000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030027,최고가,IN0100000088658,길동신동아1차2차아파트주택재건축정비사업조합,,UN00000458657,김문정,2026-03-04 15:00:00,,길신제건축제2026-3,길신제건축제2026-3
T26BK01320784,001,0,000,20260205_운영 확인 테스트,T26BK01320784001,공400002,변경공고,조070004,공사,입180002,전자입찰,계030002,지명경쟁,낙030021,최저가낙찰제,IN0100000091238,조달청비아파트2,,CM028636G0001,홍길동또변경,2026-02-05 19:50:00,2026-02-06 16:04:00,20260205_운영확인테스트,20260205_운영확인테스트
R26BK01320434,000,0,000,주월동 389-5번지 일원 정비사업전문관리업자 선정 재입찰 공고,R26BK01320434000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000125073,주월동389의5번지 일원 가로주택정비사업조합,,UN00000570676,박정희,2026-02-12 15:00:00,,주월동389-5번지일원가로주택정비사업조합공고제2026-02호,주월동389-5번지일원가로주택정비사업조합공고제2026-02호
R26BK01320582,000,0,000,빈용기 반환수집소 운영 및 관리_전주시,R26BK01320582000,공400001,등록공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000107296,자원순환보증금관리센터,,UN00000204162,조인회,2026-02-19 14:00:00,,경영팀-811,경영팀-811
R26BK01320275,000,0,000,감만1구역 재개발정비사업조합 정비기반시설 토목/조경 설계 업체 선정을 위한 입찰공고,R26BK01320275000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000103452,감만1구역주택재개발정비사업조합,,UN00000446635,이재혁,2026-02-23 16:00:00,,감만1재개발사업조합공고제2026-5호,감만1재개발사업조합공고제2026-5호
R26BK01320256,000,0,000,"감만1구역 재개발정비사업조합 소방, 전기설계 용역업체 선정을 위한 입찰공고",R26BK01320256000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000103452,감만1구역주택재개발정비사업조합,,UN00000446635,이재혁,2026-02-23 16:00:00,,감만1재개발사업조합공고제2026-4호,감만1재개발사업조합공고제2026-4호
R26BK01320233,000,0,000,감만1구역 재개발정비사업조합 성능기반내진설계 용역업체 선정을 위한 입찰공고,R26BK01320233000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000103452,감만1구역주택재개발정비사업조합,,UN00000446635,이재혁,2026-02-23 16:00:00,,감만1재개발사업조합공고제2026-3호,감만1재개발사업조합공고제2026-3호
R26BK01320196,000,0,000,감만1구역 재개발정비사업조합 도시계획 용역업체 선정을 위한 입찰공고,R26BK01320196000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000103452,감만1구역주택재개발정비사업조합,,UN00000446635,이재혁,2026-02-23 16:00:00,,감만1재개발사업조합공고제2026-2호,감만1재개발사업조합공고제2026-2호
R26BK01320044,000,0,000,"광양축구전용구장 E석, N석  관람 환경 개선",R26BK01320044000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000081200,주식회사 전남드래곤즈,,UN00000471146,서진원,2026-02-19 18:00:00,,홍보마케팅실-26-00046,홍보마케팅실-26-00046
R26BK01320143,000,0,000,2026년 제주SK FC 홈경기장 W석 리뉴얼 업무 용역,R26BK01320143000,공400001,등록공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000090874,제주유나이티드에프씨주식회사,,UN00000119782,김태준,2026-02-09 11:00:00,,2026_0205_02,2026_0205_02
R26BK01320084,000,0,000,2026년 제주에스케이에프씨 브랜드 홍보 용역,R26BK01320084000,공400001,등록공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000090874,제주유나이티드에프씨주식회사,,UN00000119782,김태준,2026-02-09 18:00:00,,2026_0205_01,2026_0205_01
R26BK01319793,000,0,000,안양8동 행정복지센터 주변 재개발사업 조합설립추진위원회 도시계획업체 선정  입찰 공고,R26BK01319793000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013974,안양8동 행정복지센터 주변 재개발사업 조합설립추진위원회,,UN00000571369,이양례,2026-02-13 16:00:00,,제2026-03호,제2026-03호
R26BK01319557,000,1,000,2026년도 디지털 소외계층 지원사업  프로그램 운영을 위한 교육장비 임대,R26BK01319557000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000123407,사단법인 한국정보과학진흥협회,,UN00000174517,박승진,2026-02-19 11:00:00,,정보과학2026-01호,정보과학2026-01호
R26BK01319527,000,1,000,태그하이브 2026년 IBS프로그램 디지털솔루션 기자재 제작 납품,R26BK01319527000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000002630,태그하이브 주식회사,,UN00000383363,윤경호,2026-02-13 15:00:00,,제2026-1호,제2026-1호
R26BK01319412,000,0,000,퀸즈타운W사하  승강기 노후부품 교체공사,R26BK01319412000,공400001,등록공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000112108,퀸즈타운W사하 관리단,,CM049308G0002,박동남,2026-02-23 14:00:00,,20260205,20260205
R26BK01319236,000,0,000,2026-2028회계연도 외부회계감사 업체 선정_외부감사인 선임,R26BK01319236000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075843,(주)수협개발,,UN00000577056,노인지,2026-02-09 18:01:00,,수협개발26기획-021호,수협개발26기획-021호
R26BK01319044,000,0,000,퀸즈타운W사하 승강기 노후부품교체 공사,R26BK01319044000,공400001,등록공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000112108,퀸즈타운W사하 관리단,,CM049308G0002,박동남,2026-02-23 14:00:00,,20230205,20230205
R26BK01319157,000,0,000,미술장식품 설치 업체 선정 입찰공고,R26BK01319157000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000073725,반포아파트(제3주구)주택재건축정비사업조합,,CM011198G0001,박혜정,2026-02-13 15:00:00,,제2026-06호,제2026-06호
R26BK01319117,000,0,000,세화고 남단도로 도시계획시설 결정을 위한 교통영향평가 업체 선정 입찰공고,R26BK01319117000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000073725,반포아파트(제3주구)주택재건축정비사업조합,,CM011198G0001,박혜정,2026-02-13 15:00:00,,제2026-05호,제2026-05호
R26BK01278185,003,0,000,둔산지구 통합11구역 재건축정비사업 도시계획건축설계 컨소시엄 업체 선정 입찰 공고,R26BK01278185003,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013667,국화단지재건축추진준비위원회,,UN00000555398,박찬명,2026-02-06 12:00:00,,제2026-02호,제2026-02호
R26BK01319009,000,1,000,더케이제주호텔 청소장비 구매,R26BK01319009000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000090627,더케이제주호텔(주),,UN00000258297,김창진,2026-02-13 15:00:00,,총무구메-42,총무구메-42
R26BK01318827,000,0,000,설계자 선정 입찰공고,R26BK01318827000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014009,종암8구역 주택정비형 재개발사업 조합설립추진위원회,,UN00000573758,김기원,2026-02-24 17:00:00,,종암8구역추진위공고제226-02-02호,종암8구역추진위공고제226-02-02호
R26BK01318802,000,0,000,정비사업전문관리업자 선정 입찰공고,R26BK01318802000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014009,종암8구역 주택정비형 재개발사업 조합설립추진위원회,,UN00000573758,김기원,2026-02-24 16:00:00,,종암8구역추진위공고제2026-02-01호,종암8구역추진위공고제2026-02-01호
R26BK01299272,001,0,000,승강기  리모델링공사,R26BK01299272001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0000000013796,여의도 롯데캐슬 엠파이어 상가 관리단,,UN00000560563,조우현,2026-02-13 11:00:00,,여엠상260127-1,여엠상260127-1
R26BK01316823,001,0,000,변호사_청산금 등 소송수행 용역 선정 입찰공고,R26BK01316823001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000091731,영등주공1단지아파트 재건축정비사업조합,,UN00000214442,이금식,2026-02-25 15:00:00,,2026-0204-01호,2026-0204-01호
R26BK01317630,000,0,000,심곡동 도원아파트 가로주택정비사업조합 명도소송 및 매도청구 관련 업무를 위한 변호사 선정 입찰공고,R26BK01317630000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000130074,심곡동도원아파트가로주택정비사업조합,,UN00000194879,오세정,2026-02-12 19:00:00,,제2026-02-05호,제2026-02-05호
R26BK01317476,000,0,000,관양동 현대아파트 관리처분계획 타당성검증 대행용역 업체 선정 입찰공고,R26BK01317476000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000104262,관양동현대아파트지구재건축정비사업조합,,UN00000486765,김정엽,2026-02-13 11:00:00,,관양동현대아파트지구재건축정비사업조합공고제2026-3호,관양동현대아파트지구재건축정비사업조합공고제2026-3호
R26BK01317753,000,0,000,하남쁘띠린 미화 용역 업체 선정 입찰 공고,R26BK01317753000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000128396,(주)대현종합관리,,UN00000173280,장초휘,2026-02-09 18:00:00,,DH-202602,DH-202602
R26BK01317749,000,0,000,하남쁘띠린 경비 용역업체 선정 입찰 공고,R26BK01317749000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000128396,(주)대현종합관리,,UN00000173280,장초휘,2026-02-09 18:00:00,,DH-202601,DH-202601
R26BK01317733,001,0,000,하남쁘띠린 경비용역업체 선정 입찰 공고,R26BK01317733001,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000128396,(주)대현종합관리,,UN00000173280,장초휘,2026-02-09 18:00:00,,dh-202601,dh-202601
R26BK01311480,000,0,000,승강기 리모델링 공사,R26BK01311480000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0000000013796,여의도 롯데캐슬 엠파이어 상가 관리단,,UN00000560563,조우현,2026-02-26 15:00:00,,여엠상260203-1,여엠상260203-1
R26BK01317310,000,0,000,영동한양빌라 가로주택정비사업 협력업체 PM 선정을 위한 입찰 2차 공고,R26BK01317310000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000003621,"영동,한양빌라가로주택정비사업조합",,UN00000571626,신상만,2026-02-19 11:00:00,,공고제2026-02-04호,공고제2026-02-04호
R26BK01317281,001,0,000,한국전력기술 사옥 시설물 정밀안전진단 용역,R26BK01317281001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000106069,한전기술서비스 주식회사,,C210817941901,김소희,2026-02-12 15:00:00,,M042664,M042664
R26BK01317308,000,0,000,서봉덕 주택재개발정비사업 세무회계 용역 입찰공고,R26BK01317308000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000088303,서봉덕 주택재개발 정비사업조합,,CM025490G0001,이을선,2026-02-12 15:00:00,,서봉덕주택재개발정비사업조합공고제2026-05호,서봉덕주택재개발정비사업조합공고제2026-05호
R26BK01317286,000,0,000,서봉덕 재개발정비사업 건설폐기물 운반 및 처리용역,R26BK01317286000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000088303,서봉덕 주택재개발 정비사업조합,,CM025490G0001,이을선,2026-02-12 15:00:00,,서봉덕주택재개발정비사업조합공고제2026-04호,서봉덕주택재개발정비사업조합공고제2026-04호
R26BK01317255,000,0,000,서봉덕 재개발정비사업 토양오염 정화용역,R26BK01317255000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000088303,서봉덕 주택재개발 정비사업조합,,CM025490G0001,이을선,2026-02-12 15:00:00,,서봉덕주택재개발정비사업조합공고제2026-03호,서봉덕주택재개발정비사업조합공고제2026-03호
R26BK01317242,000,0,000,서봉덕 재개발정비사업 매립토 선별 및 처리용역 입찰공고,R26BK01317242000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000088303,서봉덕 주택재개발 정비사업조합,,CM025490G0001,이을선,2026-02-12 15:00:00,,서봉덕주택재개발정비사업조합공고제2026-02호,서봉덕주택재개발정비사업조합공고제2026-02호
R26BK01316249,000,1,000,청량리 롯데캐슬 하이루체 조합보유분 상가 매각 입찰공고,R26BK01316249000,공400001,등록공고,조070001,물품,입180001,직찰,계030001,일반경쟁,낙030027,최고가,IN0100000102018,청량리제7구역주택재개발정비사업조합,,UN00000569683,정세윤,2026-02-11 15:00:00,,청량리제7구역주택재개발정비사업조합제2026-02호,청량리제7구역주택재개발정비사업조합제2026-02호
R26BK01316036,001,0,000,공성농협 농산물유통센터 신축공사 - 소방,R26BK01316036001,공400002,변경공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000092695,공성농업협동조합,,UN00000142377,김태호,2026-02-24 15:00:00,,공성농협공고제2026-5호,공성농협공고제2026-5호
R26BK01316069,001,0,000,공성농협 농산물유통센터 신축공사 - 전기,R26BK01316069001,공400002,변경공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000092695,공성농업협동조합,,UN00000142377,김태호,2026-02-24 15:00:00,,공성농협공고제2026-4호,공성농협공고제2026-4호
R26BK01316110,001,0,000,공성농협 농산물유통센터 신축공사 - 냉동설비,R26BK01316110001,공400002,변경공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000092695,공성농업협동조합,,UN00000142377,김태호,2026-02-24 15:00:00,,공성농협공고제2026-6호,공성농협공고제2026-6호
R26BK01315894,001,0,000,"공성농협 농산물유통센터 신축공사 건축, 토목, 기계설비",R26BK01315894001,공400002,변경공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000092695,공성농업협동조합,,UN00000142377,김태호,2026-02-24 15:00:00,,공성농협공고제2026-3호,공성농협공고제2026-3호
R26BK01317083,000,0,000,분양대행-광고포함 선정 입찰,R26BK01317083000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000106961,국도연립가로주택정비사업조합,,UN00000578988,김은희,2026-02-11 16:00:00,,2026-01,2026-01
R26BK01317077,000,0,000,중촌시영구역 세무회계업체 선정 입찰공고,R26BK01317077000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014048,중촌시영구역 재건축사업 조합설립추진위원회,,UN00000575688,김종규,2026-02-11 15:00:00,,2026-04,2026-04
R26BK01316933,000,0,000,"소규모 지하안전평가 및 도시철도 안전영향평가, 지하보도 출입구 연장 및 도시철도 연결통로 실시설계 용역 입찰 공고",R26BK01316933000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087601,괴정5구역주택재개발정비사업조합,,UN00000130840,서태영,2026-02-23 19:00:00,,제2026-0204-08호,제2026-0204-08호
R26BK01316902,000,0,000,교통영향평가 용역 입찰 공고,R26BK01316902000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087601,괴정5구역주택재개발정비사업조합,,UN00000130840,서태영,2026-02-23 18:00:00,,제2026-0204-07호,제2026-0204-07호
R26BK01316893,000,0,000,2026년 노사관계 전문교육 과정 국외연수 위탁운영,R26BK01316893000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000113829,서울특별시투자출연기관노사정협의회,,UN00000341130,고세영,2026-02-25 18:00:00,,서울특별시투자출연기관노사정협의회공고제2026-1호,서울특별시투자출연기관노사정협의회공고제2026-1호
R26BK01316879,000,0,000,소규모 환경영향평가 및 재해영향평가 용역 입찰 공고,R26BK01316879000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087601,괴정5구역주택재개발정비사업조합,,UN00000130840,서태영,2026-02-23 17:00:00,,제2026-0204-06호,제2026-0204-06호
R26BK01316861,000,0,000,경관 설계 용역 입찰 공고,R26BK01316861000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087601,괴정5구역주택재개발정비사업조합,,UN00000130840,서태영,2026-02-23 16:00:00,,제2026-0204-05호,제2026-0204-05호
R26BK01316514,000,0,000,하안주공9단지 재건축사업 감정평가법인등 선정 입찰공고,R26BK01316514000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000104853,교보자산신탁(주),,UN00000484250,신영재,2026-02-13 16:30:00,,하안주공9공고제2026-03호,하안주공9공고제2026-03호
R26BK01316609,000,0,000,하안주공9단지 재건축사업 세무·회계법인 선정 입찰공고,R26BK01316609000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000104853,교보자산신탁(주),,UN00000484250,신영재,2026-02-13 17:30:00,,하안주공9공고공고제2026-04호,하안주공9공고공고제2026-04호
R26BK01316801,000,0,000,안양8동 행정복지센터 주변 재개발사업 조합설립추진위원회 정비사업전문관리업자 선정 입찰 공고,R26BK01316801000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013974,안양8동 행정복지센터 주변 재개발사업 조합설립추진위원회,,UN00000571369,이양례,2026-02-25 16:00:00,,제2026-05호,제2026-05호
R26BK01316718,000,0,000,시흥동 933번지일대가로주택정비사업 시공자 선정 입찰 공고,R26BK01316718000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000000401,시흥동933번지일대가로주택정비사업조합,,UN00000213583,김영환,2026-03-06 15:00:00,,제260204-1호,제260204-1호
R26BK01316816,000,0,000,친환경 및 교육환경 심의 용역 입찰 공고,R26BK01316816000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087601,괴정5구역주택재개발정비사업조합,,UN00000130840,서태영,2026-02-23 15:00:00,,제2026-0204-04호,제2026-0204-04호
R26BK01316765,000,0,000,흙막이 설계 용역 입찰 공고,R26BK01316765000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087601,괴정5구역주택재개발정비사업조합,,UN00000130840,서태영,2026-02-23 13:00:00,,제2026-0204-03호,제2026-0204-03호
